No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
25,BMDC-MGMT-A3,Gig 1/0/13,,MYPD-DUKCAPIL.bankmayapada.local,Gig 0,ISR4321/K,R S I
36,BMDC-SW-EXT-OUT,Gig 1/0/13,,RO2-AWS-TO-NTT,ether2--TO-BMI,MikroTik,R
55,CCPL-CORE-SW,Gig 1/0/13,,CCPL-SW-01.bankmayapada.local,Gig 1/0/47,WS-C2960S,S I
62,CORE-MT2,Gig 1/0/13,,SW-MT2-IT2.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
13,BMDC-DIST-MT1,Gig 1/0/14,,BMDC-ASSW-GFM1-01.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/14,,MYPD-STARLINK.bankmayapada.local,Fas 0/1/1,CISCO2901,R B S I
36,BMDC-SW-EXT-OUT,Gig 1/0/14,,RO1-AWS-TO-DCI,ether2-TO-BMI,MikroTik,R
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/14,,BMDC-NX-02-Admin(FXS2136Q11W),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/14,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/14,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/14,,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),mgmt0,N77-C7706,R S C
55,CCPL-CORE-SW,Gig 1/0/14,,CCPL-SW-01.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
62,CORE-MT2,Gig 1/0/14,,MT2-LT15-03.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/15,,BMDC-ASSW-L1M1-KIRI.bankmayapada.local,Gig 1/0/23,WS-C2960X,S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/15,,BMDC-ACCSVR-N9K-RAKD1(FDO213317JS),mgmt0,N9K-C9310,R S C
55,CCPL-CORE-SW,Gig 1/0/15,,CCPL-SW-02.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
62,CORE-MT2,Gig 1/0/15,,MT2-LT15-04.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/16,,BMDC-ASSW-L1M1-KIRI.bankmayapada.local,Gig 1/0/24,WS-C2960X,S I
24,BMDC-F5-ISP-OUT,Gig 1/0/16,,BMDC-F5-ISP-OUT.bankmayapada.local,Gig 2/0/15,WS-C2960X,S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/16,,BMDC-SW-RAK-D1.bankmayapada.local,Fas 0,WS-C2960X,S I
55,CCPL-CORE-SW,Gig 1/0/16,,CCPL-SW-02.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
62,CORE-MT2,Gig 1/0/16,,MT2-LT10-SW-01.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/17,,BMDC-ASSW-GFM1-01.bankmayapada.local,Gig 1/0/34,WS-C2960X,S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/17,,BMDC-ACCSVR-N9K-RAKC1(FDO213317J8),mgmt0,N9K-C9310,R S C
55,CCPL-CORE-SW,Gig 1/0/17,,CCPL-SW-03.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
